Upisni broj,Smjer,Bodovi iz škole,Bodovi s državne mature,Bodovi ukupno
9403,Menadzment,415,260.4700012,675.4700012
3119,Menadzment,477,310.3099976,"787,3"
23198,Menadzment,447,333.25,"780,3"
11012,Menadzment,467,306.25,"773,3"
16070,Menadzment,469,293.1300049,"762,1"
15756,Menadzment,460,282.0599976,"742,1"
6605,Menadzment,450,282.9400024,"732,9"
10314,Menadzment,467,263.9100037,"730,9"
27149,Menadzment,476,250.7799988,"726,8"
16292,Menadzment,461,247.8099976,"708,8"
8923,Menadzment,370,336.1900024,"706,2"
16187,Menadzment,409,295.3800049,"704,4"
20165,Menadzment,481,215.4700012,"696,5"
7279,Menadzment,378,315.3099976,"693,3"
18832,Menadzment,393,299.9400024,"692,9"
28197,Menadzment,470,222.1799927,"692,2"
24562,Menadzment,476,214.0599976,"690,1"
6889,Menadzment,414,271.8699951,"685,9"
13231,Menadzment,398,285.1600037,"683,2"
10627,Menadzment,444,236.8800049,"680,9"
7543,Menadzment,422,255.1600037,"677,2"
7361,Menadzment,422,247.9700012,670
6855,Menadzment,412,250.8800049,"662,9"
2912,Menadzment,437,224.5299988,"661,5"
9524,Menadzment,389,265.3099976,"654,3"
6969,Menadzment,398,256.1000061,"654,1"
27204,Menadzment,396,258,654
3766,Menadzment,386,267.8099976,"653,8"
14726,Menadzment,376,276.1900024,"652,2"
4992,Menadzment,395,255.4400024,"650,4"
9004,Menadzment,421,229,650
19009,Menadzment,413,235.9400024,"648,9"
7054,Menadzment,359,286.8699951,"645,9"
15769,Menadzment,389,255.3099976,"644,3"
21763,Menadzment,424,219.8500061,"643,9"
4145,Menadzment,328,315.4400024,"643,4"
7755,Menadzment,411,226.5599976,"637,6"
9396,Menadzment,412,225.0099945,637
4702,Menadzment,426,208.9100037,"634,9"
6327,Menadzment,400,230.7799988,"630,8"
7734,Menadzment,374,256.5599976,"630,6"
14789,Menadzment,385,245.1499939,"630,2"
18308,Menadzment,352,274.5599976,"626,6"
23491,Menadzment,411,212.9700012,624
8506,Menadzment,356,267.0599976,"623,1"
10055,Menadzment,415,207.3399963,"622,3"
6737,Menadzment,382,240.1300049,"622,1"
3341,Menadzment,436,185.9299927,"621,9"
9382,Menadzment,378,241.1300049,"619,1"
9885,Menadzment,362,255.1900024,"617,2"
12539,Menadzment,357,260.0599976,"617,1"
5567,Menadzment,408,209.0700073,"617,1"
7877,Menadzment,425,188.2799988,"613,3"
12454,Menadzment,407,205.7899933,"612,8"
6581,Menadzment,398,213.4499969,"611,5"
13441,Menadzment,387,219.8399963,"606,8"
8092,Menadzment,418,188.2599945,"606,3"
21169,Menadzment,449,157.3399963,"606,3"
13975,Menadzment,403,202.1900024,"605,2"
3634,Menadzment,417,188.1399994,"605,1"
